Borehole ID,Date,Na+ (mg/L),K+(mg/L),Mg2+ (mg/L),Ca2+ (mg/L),Cl- (mg/L),SO42- (mg/L),HCO3- (mg/L),PO43- (mg/L),NO3- (mg/L),NO2- (mg/L),Br- (mg/L),F- (mg/L)
LANGBH003,Mar-23,96.11,0.69,14.82,7.60,202.33,23.83,6.80,0.10,20.81,NaN,0.59,0.05
LANGBH004,Mar-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH005,Mar-23,405.80,6.12,96.88,38.20,1044.39,84.17,13.60,0.10,65.91,NaN,2.83,0.05
LANGBH006,Mar-23,152.20,3.21,38.28,18.53,426.70,15.81,10.70,0.24,17.85,NaN,1.21,0.07
BERGBH001,Mar-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH002,Mar-23,43.42,0.10,6.09,2.91,91.13,5.62,5.40,0.28,8.04,NaN,0.28,0.05
BERGBH003,Mar-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH004,Mar-23,82.63,1.81,16.72,10.50,186.95,34.34,4.30,0.25,21.65,NaN,0.52,0.16
BERGBH005,Mar-23,98.04,2.57,18.29,8.60,212.07,33.75,5.90,0.10,29.34,NaN,0.63,0.15
BERGBH006,Mar-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH007,Mar-23,225.20,3.94,45.91,28.49,539.33,64.17,16.90,1.78,33.19,NaN,1.56,0.17
KRMSBH001,Mar-23,108.20,1.68,18.57,37.24,276.13,27.99,31.00,0.10,15.33,NaN,0.82,0.05
KRMSBH002,Mar-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BOPBH101,Jun-23,10.62,0.62,2.18,0.83,32.85,0.91,4.80,0.10,8.88,NaN,0.09,0.05
BOPBH102,Jun-23,0.14,0.10,0.10,0.03,0.75,0.75,4.80,0.10,0.05,NaN,NaN,NaN
BOPBH103,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH101,Jun-23,61.41,3.01,19.99,72.88,149.81,80.73,107.70,0.10,NaN,NaN,0.46,0.47
KABH102,Jun-23,271.00,8.57,83.64,125.00,721.55,117.96,184.40,0.10,NaN,NaN,2.23,0.17
KABH103,Jun-23,204.40,4.58,49.43,71.85,503.17,139.52,35.50,NaN,0.50,NaN,1.58,0.39
HOLBH101,Jun-23,58.37,0.71,13.07,12.89,138.16,7.75,21.60,NaN,10.61,NaN,0.41,0.05
HOLBH102,Jun-23,37.61,1.26,5.22,1.60,78.08,7.93,5.20,0.10,3.58,NaN,0.23,0.05
HOLBH103,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOLBH104,Jun-23,112.50,5.52,28.52,61.23,314.43,40.27,75.10,NaN,NaN,NaN,0.92,0.05
VERBH101,Jun-23,422.40,5.63,65.11,28.75,937.51,92.48,14.60,0.42,18.02,NaN,2.54,0.05
VERBH102,Jun-23,58.20,3.16,12.60,6.65,135.81,11.12,6.90,0.10,23.30,NaN,0.42,0.08
VERBH103,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH104,Jun-23,81.45,4.09,21.32,12.09,182.15,5.74,5.90,0.10,83.75,NaN,0.53,0.27
VERBH105,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH106,Jun-23,57.69,2.36,11.15,8.05,106.57,22.09,11.60,0.10,21.68,NaN,0.34,0.05
LANGBH101,Jun-23,463.10,7.48,106.70,39.52,1089.04,85.51,12.90,0.10,69.91,NaN,3.02,0.05
LANGBH102,Jun-23,170.40,4.33,41.32,18.83,440.21,16.51,10.90,0.21,18.46,NaN,1.25,0.05
LANGBH103,Jun-23,58.23,1.13,9.63,4.50,123.13,13.08,7.10,0.10,14.84,NaN,0.36,0.05
LANGBH104,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH105,Jun-23,123.40,2.45,22.66,9.63,284.18,21.46,13.80,0.10,3.85,NaN,0.81,0.05
LANGBH106,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH101,Jun-23,40.95,0.78,6.51,2.93,88.42,5.52,6.90,0.10,6.69,NaN,0.28,0.06
BERGBH102,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH103,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
